1,1,500,1,1,314,sub11,pub1,26,267,2390,2683
1,1,500,1,1,314,sub426,pub1,26,35,2429,2490
1,1,500,1,1,314,sub267,pub1,26,107,2469,2602
1,1,500,1,1,314,sub265,pub1,26,22,2509,2557
1,1,500,1,1,314,sub322,pub1,26,24,2549,2599
1,1,500,1,1,314,sub424,pub1,26,32,2589,2647
1,1,500,1,1,314,sub459,pub1,26,31,2629,2686
1,1,500,1,1,314,sub432,pub1,26,41,2669,2736
1,1,500,1,1,314,sub151,pub1,26,182,2708,2916
1,1,500,1,1,314,sub342,pub1,26,280,2748,3054
1,1,500,1,1,314,sub182,pub1,26,40,2788,2854
1,1,500,1,1,314,sub238,pub1,26,231,2828,3085
1,1,500,1,1,314,sub25,pub1,26,34,2868,2928
1,1,500,1,1,314,sub487,pub1,26,29,2908,2963
1,1,500,1,1,314,sub450,pub1,26,25,2947,2998
1,1,500,1,1,314,sub465,pub1,26,332,2986,3344
1,1,500,1,1,314,sub448,pub1,26,23,3026,3075
1,1,500,1,1,314,sub65,pub1,26,181,3066,3273
1,1,500,1,1,314,sub152,pub1,26,214,3106,3346
1,1,500,1,1,314,sub360,pub1,26,284,3146,3456
1,1,500,1,1,314,sub213,pub1,26,218,3185,3429
1,1,500,1,1,314,sub130,pub1,26,220,3225,3471
1,1,500,1,1,314,sub369,pub1,26,97,3265,3388
1,1,500,1,1,314,sub181,pub1,26,23,3305,3354
1,1,500,1,1,314,sub85,pub1,26,22,3345,3393
1,1,500,1,1,314,sub109,pub1,26,252,3385,3663
1,1,500,1,1,314,sub23,pub1,26,236,3425,3687
1,1,500,1,1,314,sub464,pub1,26,218,3465,3709
1,1,500,1,1,314,sub440,pub1,26,213,3505,3744
1,1,500,1,1,314,sub234,pub1,26,183,3545,3754
1,1,500,1,1,314,sub198,pub1,26,23,3585,3634
1,1,500,1,1,314,sub105,pub1,26,232,3625,3883
1,1,500,1,1,314,sub428,pub1,26,183,3665,3874
1,1,500,1,1,314,sub327,pub1,26,183,3705,3914
1,1,500,1,1,314,sub209,pub1,26,182,3744,3952
1,1,500,1,1,314,sub100,pub1,26,182,3784,3992
1,1,500,1,1,314,sub170,pub1,26,246,3824,4096
1,1,500,1,1,314,sub375,pub1,26,182,3864,4072
1,1,500,1,1,314,sub14,pub1,26,181,3904,4111
1,1,500,1,1,314,sub421,pub1,26,242,3944,4212
1,1,500,1,1,314,sub93,pub1,26,182,3984,4192
1,1,500,1,1,314,sub383,pub1,26,245,4024,4295
1,1,500,1,1,314,sub346,pub1,26,46,4064,4136
1,1,500,1,1,314,sub199,pub1,26,217,4104,4347
1,1,500,1,1,314,sub215,pub1,26,216,4144,4386
1,1,500,1,1,314,sub66,pub1,26,231,4184,4441
1,1,500,1,1,314,sub37,pub1,26,225,4224,4475
1,1,500,1,1,314,sub111,pub1,26,229,4264,4519
1,1,500,1,1,314,sub289,pub1,26,228,4304,4558
1,1,500,1,1,314,sub323,pub1,26,229,4343,4598
1,1,500,1,1,314,sub363,pub1,26,290,4383,4699
1,1,500,1,1,314,sub87,pub1,26,227,4423,4676
1,1,500,1,1,314,sub146,pub1,26,227,4463,4716
1,1,500,1,1,314,sub488,pub1,26,224,4503,4753
1,1,500,1,1,314,sub268,pub1,26,225,4543,4794
1,1,500,1,1,314,sub382,pub1,26,215,4583,4824
1,1,500,1,1,314,sub362,pub1,26,234,4624,4884
1,1,500,1,1,314,sub425,pub1,26,524,4474,5024
1,1,500,1,1,314,sub104,pub1,26,525,4515,5066
1,1,500,1,1,314,sub228,pub1,26,527,4551,5104
1,1,500,1,1,314,sub202,pub1,26,656,4822,5504
1,1,500,1,1,314,sub433,pub1,26,530,4588,5144
1,1,500,1,1,314,sub278,pub1,26,535,4517,5078
1,1,500,1,1,314,sub279,pub1,26,644,4555,5225
1,1,500,1,1,314,sub57,pub1,26,644,4593,5263
1,1,500,1,1,314,sub243,pub1,26,647,4630,5303
1,1,500,1,1,314,sub46,pub1,26,648,4670,5344
1,1,500,1,1,314,sub178,pub1,26,651,4708,5385
1,1,500,1,1,314,sub7,pub1,26,652,4747,5425
1,1,500,1,1,314,sub77,pub1,26,653,4785,5464
1,1,500,1,1,314,sub161,pub1,26,656,4862,5544
1,1,500,1,1,314,sub337,pub1,26,536,4906,5468
1,1,500,1,1,314,sub71,pub1,26,658,4940,5624
1,1,500,1,1,314,sub358,pub1,26,660,4978,5664
1,1,500,1,1,314,sub338,pub1,26,660,5018,5704
1,1,500,1,1,314,sub167,pub1,26,673,5045,5744
1,1,500,1,1,314,sub473,pub1,26,673,5085,5784
